Model,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall
CNN,0.026434975,0.134357765,0.991277158,0.962497175,0.991633475,0.964709938,0.990787268,0.961415887
VGG19,0.27272594,0.313811749,0.910810471,0.896653771,0.942852795,0.932255328,0.882259846,0.866150677
MobileNetV2,0.064744607,0.152503073,0.979741454,0.956294119,0.984329164,0.963744283,0.975711882,0.951513767
InceptionV3,0.440462321,0.652765989,0.942195237,0.887491465,0.961989343,0.915872157,0.924638927,0.869223773
